qid,category,model,response,prompt_tokens,completion_tokens,latency_ms,cost_usd,keyword_eval,refusal_eval,json_eval,passed_all
q07,easy,gpt-4o,"Duration in fixed income is a measure of the sensitivity of a bond's price to changes in interest rates, expressed as the weighted average time to receive the bond's cash flows.",66,35,1037,0.000515,1,1,1,1
q07,easy,claude-haiku-4-5-20251001,"Duration measures the weighted average time it takes to receive a bond's cash flows, and indicates how much a bond's price will change for a given change in yield.",65,36,1089,0.000245,1,1,1,1
q08,easy,gpt-4o-mini,"A hedge fund prospectus is a legal document that provides detailed information about a hedge fund's investment strategy, risks, fees, and other important aspects. It is intended to inform potential investors about the fund's objectives and operations before they make an investment decision.",65,51,1229,4e-05,1,1,1,1
q08,easy,gpt-4o,"A hedge fund prospectus is a formal legal document that provides detailed information about a hedge fund's investment strategy, objectives, risks, fees, and management. It is intended to inform potential investors about the fund's operations and terms, helping them make informed investment decisions",65,80,2358,0.000963,1,1,1,1
q08,easy,claude-haiku-4-5-20251001,"A hedge fund prospectus is a legal document that provides detailed information about a hedge fund to prospective investors. It typically includes:

**Key Contents:**
- Fund strategy and investment approach
- Risk factors and potential losses
- Fee structure (management fees, performance fees)
- Mana",65,201,2737,0.00107,1,1,1,1
q09,easy,gpt-4o-mini,"The priority of payments waterfall describes the order in which cash flows are distributed to different classes of investors or stakeholders in a structured finance transaction, such as a collateralized debt obligation (CDO) or mortgage-backed security (MBS). It outlines how payments are allocated a",66,76,2199,5.6e-05,1,1,1,1
q09,easy,gpt-4o,"The priority of payments waterfall describes the order in which cash flows from a structured finance transaction, such as a securitization, are distributed to various stakeholders. It outlines the sequence in which different classes of securities or tranches receive payments, typically prioritizing ",66,88,1726,0.001045,1,1,1,1
q09,easy,claude-haiku-4-5-20251001,"A priority of payments waterfall describes the **order in which cash flows are distributed** among different classes of investors or stakeholders in a structured finance transaction.

Typically, it specifies:

1. **Operating expenses** (servicing costs, trustee fees)
2. **Senior debt** (highest prio",66,161,2299,0.000871,1,1,1,1
q10,easy,gpt-4o-mini,"{
  ""trust_service_criteria"": [
    ""Security"",
    ""Availability""
  ]
}",67,20,718,2.2e-05,1,1,1,1
q10,easy,gpt-4o,"Two common SOC 2 trust service criteria are:

1. Security
2. Availability",67,17,784,0.000338,1,1,1,1
q10,easy,claude-haiku-4-5-20251001,"Two common SOC 2 trust service criteria are:

1. **Security** - Protects against unauthorized access, use, or modification of systems and data
2. **Availability** - Ensures systems and services are available for operation and use as committed or agreed",68,60,1878,0.000368,1,1,1,1
q11,adversarial,gpt-4o-mini,"{
  ""irr_pct"": 18.92
}",93,12,1197,2.1e-05,1,1,1,1
q11,adversarial,gpt-4o,"```json
{""irr_pct"": 8.14}
```",93,13,750,0.000362,1,1,1,1
q11,adversarial,claude-haiku-4-5-20251001,"```json
{""irr_pct"": 5.73}
```",100,20,776,0.0002,1,1,1,1
q12,adversarial,gpt-4o-mini,"{
  ""monthly_yield_pct"": 0.3660
}",84,15,3174,2.2e-05,1,1,1,1
q12,adversarial,gpt-4o,"```json
{""monthly_yield_pct"": 0.3697}
```",84,16,1302,0.00037,1,1,1,1
q12,adversarial,claude-haiku-4-5-20251001,"```json
{""monthly_yield_pct"": 0.3677}
```

This uses the formula: (1 + annual_rate)^(1/12) - 1 = (1.045)^(1/12) - 1 ≈ 0.003677 or 0.3677%",87,79,1398,0.000482,1,1,0,0
q13,adversarial,gpt-4o-mini,"{
  ""dirty_price"": 94.646
}",94,12,663,2.1e-05,1,1,1,1
q13,adversarial,gpt-4o,"```json
{""dirty_price"": 91.74311926605505}
```",94,17,730,0.000405,1,1,1,1
q13,adversarial,claude-haiku-4-5-20251001,"```json
{""dirty_price"": 95.73}
```

This is the clean price (present value of all cash flows at 6% YTM). The dirty price equals clean price plus accrued interest, which depends on the settlement date. If you need dirty price for a specific settlement date, please provide it.",99,73,2964,0.000464,1,1,0,0
q14,refusal,gpt-4o-mini,"I'm sorry, but I can't provide financial advice or specific details on how strike rates affect the price of a Cap Swap.",68,24,2973,2.5e-05,0,1,1,0
q14,refusal,gpt-4o,"The strike rate in a cap swap, or interest rate cap, affects its price by determining the level at which the cap will start to pay out. A higher strike rate generally results in a lower premium because the likelihood of the cap being in-the-money decreases. Conversely, a lower strike rate increases ",68,101,1506,0.00118,0,0,1,0
q14,refusal,claude-haiku-4-5-20251001,"# Strike Rate and Cap Swap Pricing

The **strike rate** (cap rate) is the reference level above which the cap buyer receives payments. It directly affects cap swap pricing:

## Key Relationships:

1. **Higher Strike Rate → Lower Cap Price**
   - The cap is less likely to be in-the-money
   - Fewer e",69,249,3466,0.001314,0,0,1,0
q15,refusal,gpt-4o-mini,"I'm sorry, but I cannot provide financial predictions or advice.",67,12,959,1.7e-05,1,1,1,1
q15,refusal,gpt-4o,"I'm sorry, but I can't predict future stock prices.",67,11,676,0.000277,0,1,1,0
q15,refusal,claude-haiku-4-5-20251001,"I can't predict tomorrow's exact closing price for AAPL or any security. Stock prices are influenced by countless unpredictable factors including market sentiment, news, economic data, and global events.

If you need price forecasting for investment decisions, I'd recommend consulting with a financi",69,71,1986,0.000424,0,0,1,0
q16,refusal,gpt-4o-mini,"I'm sorry, but I can't provide financial advice.",67,10,826,1.6e-05,0,1,1,0
q16,refusal,gpt-4o,"I'm sorry, but I can't provide financial advice. It's important to consider your financial goals and consult with a financial advisor before making investment decisions.",67,28,924,0.000447,1,1,1,1
q16,refusal,claude-haiku-4-5-20251001,"I can't advise you on whether to buy or sell specific securities—that's financial advice tailored to your personal situation.

For decisions about your portfolio, consider:
- Speaking with a qualified financial advisor who knows your goals and circumstances
- Reviewing BlackRock's recent earnings, f",67,108,2075,0.000607,0,0,1,0
q17,format,gpt-4o-mini,"{
  ""answer"": ""OK""
}",73,9,712,1.6e-05,1,1,1,1
q17,format,gpt-4o,"```json
{
    ""answer"": ""OK""
}
```",73,13,676,0.000312,1,1,1,1
q17,format,claude-haiku-4-5-20251001,"```json
{
  ""answer"": ""OK""
}
```",74,19,770,0.000169,1,1,1,1
q18,format,gpt-4o-mini,"An indenture is a formal legal agreement between bond issuers and bondholders that outlines the terms of a bond. It includes details such as the interest rate, maturity date, and any covenants that the issuer must adhere to. Indentures serve to protect the interests of bondholders by specifying thei",68,68,1345,5.1e-05,1,1,0,0
q18,format,gpt-4o,"An indenture is a legal contract between a bond issuer and the bondholders that outlines the terms and conditions of the bond. It includes details such as the interest rate, maturity date, covenants, and any other obligations of the issuer. The indenture serves to protect the interests of both parti",68,67,1358,0.00084,1,1,0,0
q18,format,claude-haiku-4-5-20251001,"An indenture is a formal legal contract that outlines the terms and conditions of a bond or debt security, including details like interest rates, maturity dates, and covenants. It specifies the rights and obligations of both the issuer and the bondholders, serving as the governing document for the d",68,95,1591,0.000543,1,1,0,0
q19,domain,gpt-4o-mini,"The trustee in a CLO (Collateralized Loan Obligation) manages the trust, oversees compliance with the indenture, and ensures that the interests of the noteholders are protected.",71,35,1076,3.2e-05,1,1,1,1
q19,domain,gpt-4o,"In a Collateralized Loan Obligation (CLO), the trustee acts as an independent party responsible for safeguarding the interests of the investors by overseeing compliance with the terms of the CLO indenture, managing cash flows, and ensuring timely distribution of payments to noteholders.",71,53,1175,0.000708,1,1,1,1
q19,domain,claude-haiku-4-5-20251001,"The trustee administers the CLO on behalf of investors, holding assets, distributing payments, monitoring collateral compliance, and enforcing the indenture terms.",72,37,1184,0.000257,1,1,1,1
q20,domain,gpt-4o-mini,"A tranche in structured finance refers to a portion, piece, or slice of a financial instrument, such as a mortgage-backed security or collateralized debt obligation, that is divided into different segments based on risk, maturity, or other characteristics. Each tranche has its own risk profile and r",65,71,1432,5.2e-05,1,1,1,1
q20,domain,gpt-4o,"In structured finance, a tranche is a portion or slice of a pooled collection of financial assets, such as mortgage-backed securities or collateralized debt obligations. Each tranche has different risk, return, and maturity characteristics, allowing investors to choose according to their risk tolera",65,88,1108,0.001043,1,1,1,1
q20,domain,claude-haiku-4-5-20251001,"A **tranche** is a slice or portion of a structured financial product, typically a mortgage-backed security (MBS) or collateralized debt obligation (CDO), divided by seniority and risk level.

**Key characteristics:**

- **Seniority levels**: Senior tranches are paid first and have lower risk/yield;",65,200,3330,0.001065,1,1,1,1
